Fire Started,Temp (C),average humidity %,average wind speed,Acres Burned
Jan,1.3555555556,64.78888888866666,17.2858333342,410.75
Feb,3.4362499997333336,70.87361111133333,24.518888889333333,398.375
Mar,9.209895833375,70.20138888833334,26.035243055833334,150.625
Apr,14.462023809066666,61.57579365066666,24.293055555685715,1653.375
May,19.038784461057645,66.25772765235588,24.14108187133584,13632.75
Jun,22.964774837409472,73.37407149480966,20.130663881372328,42611.125
Jul,26.399957616079814,82.46948356801252,18.964022561489827,286839.75
Aug,26.71514657975027,80.40888526965254,18.58816956211292,390880.875
Sep,22.82965376507109,71.36933912562402,17.659570826443918,127401.75
Oct,16.33388521009713,69.0253863136203,19.531328182350993,50399.75
Nov,10.188624338619048,71.09854497301588,21.11924603153968,34135.375
Dec,2.093434343439394,59.43560606075757,22.649053030651515,40053.75
