Fire Started,Temp (C),average humidity %,average wind speed,Unnamed: 0,Incident Name,County,Administrative Unit,Acres Burned,Crews Involved,Dozers,Engines,Fatalities,Helicopters,Injuries,Personnel Involved,Structures Damaged,Structures Destroyed,Structures Threatened,Water Tenders,Fire Extinguished,Longitude,Latitude,Incident ID
2013-02-24,5.305555555333334,81.93055555666666,23.537500000000005,0,River Fire,Inyo,CAL FIRE San Bernardino Unit,407.0,25.0,25.0,25.0,0.0,0.0,2.0,476.0,0.0,0.0,0.0,25.0,2013-02-28T20:00:00Z,-118.01651,36.602575,094719ba-a47b-4abb-9ec5-a506b2b9fd23
2013-04-20,6.848611111,67.43055555333333,20.662499999,1,Fawnskin Fire,San Bernardino,San Bernardino National Forest,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-04-22T09:00:00Z,-116.941311,34.288877,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f
2013-04-30,13.861111112333333,58.11111111333333,24.479166666666668,2,Gold Fire,Madera,CAL FIRE Madera-Mariposa-Merced Unit,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-05-01T07:00:00Z,-119.635004,37.116295,357ffc13-bef9-48eb-810f-c5de851972eb
2013-04-30,13.861111112333333,58.11111111333333,24.479166666666668,3,Silverado Fire,Napa,CAL FIRE Sonoma-Lake-Napa Unit,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-05-01T17:15:00Z,-122.350844,38.441792,d8d1c943-7b5d-4885-9043-f41075d6eded
2013-05-01,13.643055555666665,62.125,18.434722223333335,4,Yellow Fire,Sonoma,CAL FIRE Sonoma-Lake-Napa Unit,125.0,9.0,5.0,17.0,0.0,5.0,0.0,249.0,0.0,0.0,0.0,5.0,2013-05-03T06:15:00Z,-122.655616,38.638828,64e4f81e-d872-44c4-ba8d-111fa77124ba
2013-05-01,13.643055555666665,62.125,18.434722223333335,5,Panther Fire,Tehama,CAL FIRE Butte Unit,6896.0,53.0,22.0,131.0,0.0,6.0,6.0,1811.0,0.0,0.0,0.0,40.0,2013-05-09T09:00:00Z,-121.595555,40.190062,53122f0f-fefc-4dbf-b2d8-566b42ced66d
2013-05-01,13.643055555666665,62.125,18.434722223333335,6,Summit Fire,Riverside,CAL FIRE/Riverside County Fire ,2956.0,36.0,5.0,62.0,0.0,5.0,2.0,726.0,0.0,1.0,0.0,7.0,2013-05-04T18:30:00Z,-116.941311,34.288877,a1b14be5-a8cf-4e40-8588-96becf4c5879
2013-05-01,13.643055555666665,62.125,18.434722223333335,7,306 Fire,Glenn,CAL FIRE Tehama-Glenn Unit,217.0,11.0,5.0,6.0,0.0,5.0,0.0,221.0,0.0,0.0,0.0,5.0,2013-05-05T18:00:00Z,-122.560862,39.514139,5649e78d-7c26-4698-89a0-b0fa9a35cf78
2013-05-03,12.963888889000001,74.27777778,19.009722223333334,8,Tres Pinos Fire,San Benito,CAL FIRE San Benito-Monterey ,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-05-03T18:45:00Z,-120.937494,37.160346,ca68f3c4-4906-4952-b794-4531d7da8369
2013-05-04,14.744444446666668,66.86111111000001,23.50138889,9,Gorgonio Fire,Riverside,CAL FIRE/Riverside County Fire,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-05-05T18:45:00Z,-116.855019,33.894055,958ce6d2-97f9-4848-8620-d14ab87f329d
